First Name,Last Name,Email,Job Title,Company,Country/Region,Registration Time,Attended,Time in Session (minutes)
amit,Nunes,anunes@northfielddata.com,,NORTHFIELD DATA CO,MX,2026-08-04T09:12:00,Yes,55
Tomas,Ivanov,tivanov@everlinetech.com,RevOps Manager,Everline Technologies,UK,2026-08-04T09:20:00,Yes,58
Alice,Ali,aali@quantarasoftware.com,Growth Manager,Quantara Software,SG,2026-08-04T09:25:00,No,
Miguel,Iyer,miguel.iyer@hotmail.com,Content Specialist,BLUEPEAK VENTURES,MX,2026-08-05T11:02:00,Yes,49
Anna,Mahajan,annam@lumen8marketing.com,,Lumen8 Marketing,US,2026-08-05T15:31:00,No,
Layla,Zhang,lzhang@kestrelit.com,Marketing Intern,KESTREL IT SERVICES,AU,2026-08-06T08:14:00,Yes,60
Aditya,Kaur,adityak@alderwoodfintech.com,,Alderwood Fintech,SG,2026-08-06T09:47:00,Yes,44
Maria,Sato,maria.sato@wavecrestit.com,Marketing Analyst,Wavecrest IT Services,BR,2026-08-07T18:22:00,No,
Ravi,Nair,rnair@kestrelit.com,Customer Success Manager,Kestrel IT Services,US,2026-08-07T19:05:00,Yes,38
Rahul,Alvarez,rahul.alvarez@clarionanalytics.com,Head of Demand Gen,Clarion Analytics,JP,2026-08-08T05:51:00,Yes,52
Anton,Moreau,anton.moreau@anchorpointsaas.com,Digital Marketing Specialist,Anchorpoint SaaS,SG,2026-08-08T21:03:00,Yes,47
Ibrahim,Braun,ibrahimb@sableridgeanalytics.com,RevOps Manager,Sable Ridge Analytics,SG,2026-08-09T14:10:00,No,
Priya,Deshpande,pdeshpande@fernwoodcloud.com,Demand Gen Manager,Fernwood Cloud,IN,2026-08-03T07:15:00,Yes,50
karl,Voss,kvoss@brambleworks.io,,Bramble Works,DE,2026-08-03T08:40:00,No,
Sofia,Reyes,sofia.reyes@harkonenlabs.com,Marketing Ops Lead,Harkonen Labs,ES,2026-08-03T10:05:00,Yes,41
Owen,Blackwood,oblackwood@tessellatedata.com,VP Marketing,Tessella Data,CA,2026-08-04T13:00:00,Yes,58
Mei,Lin,mei.lin@copperfieldcx.com,Customer Success Lead,Copperfield CX,SG,2026-08-04T14:22:00,No,
Dmitri,Sokolov,dsokolov@yahoo.com,Sales Development Rep,GRANITE PEAK ANALYTICS,RU,2026-08-05T06:48:00,Yes,29
Chiamaka,Obi,cobi@lodestarrevenue.com,Head of RevOps,Lodestar Revenue,NG,2026-08-05T16:10:00,Yes,60
jonas,Petit,jpetit@brightloomsoftware.com,,Brightloom Software,FR,2026-08-05T17:33:00,No,
Hana,Kobayashi,hana.kobayashi@driftpointsaas.com,Growth Marketing Manager,Driftpoint SaaS,JP,2026-08-06T02:11:00,Yes,36
Marcus,Whitfield,mwhitfield@gmail.com,Founder,Cinderfield Ventures,US,2026-08-06T12:47:00,Yes,55
Beatriz,Nunes,bnunes@saltmarshfintech.com,Marketing Analyst,Saltmarsh Fintech,BR,2026-08-06T19:02:00,No,
Ahmed,Farouk,afarouk@nimbusgateit.com,IT Services Analyst,Nimbus Gate IT,AE,2026-08-07T09:19:00,Yes,44
Wren,Callahan,wcallahan@thistlegrovecrm.com,Customer Marketing Manager,Thistlegrove CRM,IE,2026-08-07T15:55:00,Yes,50
Tariq,Osei,tosei@birchlanecommerce.com,Ecommerce Growth Lead,Birchlane Commerce,GH,2026-08-08T08:03:00,No,
Ingrid,Halvorsen,ihalvorsen@outlook.com,Account Executive,PALEBROOK ANALYTICS,NO,2026-08-08T11:41:00,Yes,39
Renata,Vasquez,rvasquez@cindermossmedia.com,,Cindermoss Media,MX,2026-08-09T09:27:00,No,
Felix,Andrade,felix.andrade@driftwoodsaaslabs.com,RevOps Analyst,Driftwood SaaS Labs,PT,2026-08-09T16:16:00,Yes,45
Noor,Haddad,nhaddad@quarrystonefintech.com,Marketing Manager,Quarrystone Fintech,JO,2026-08-10T10:00:00,Yes,58
