email,firstname,lastname,jobtitle,company,industry,numemployees,function,seniority,country,region,hubspot_owner_email,lifecyclestage,hs_lead_status,hubspot_contact_id,attendance_status,time_in_session_minutes,registration_time,icp_tier,icp_rationale,confidence,merge_action,needs_review,company_domain,suppression_reason,icp_source,icp_confidence,icp_tier_rules,industry_source,numemployees_source,firmographics_confidence,needs_review_reason,is_speaker
divya@gmail.com,Divya,Patel,HR Business Partner,Self-employed,Other,1,general,unknown,IN,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,no_show,,2026-08-05T03:46:02,tier3,"tier3 -- catch-all title 'HR Business Partner'; company_size=1 in [1, 200]; industry=Other (wildcard). [firmographics (llm, confidence=0.9): industry=Other size=1 -- 'Self-employed' denotes an individual freelancer; not a company, so one‑person entity.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,,,rules,,tier3,rules,llm,0.9,,False
rjohnson@wayfair.com,Robert,Johnson,Student,Wayfair,Internet,17000,general,unknown,US,NA,sdr.na@darwinbox.com,subscriber,NEW,,no_show,,2026-08-04T10:20:19,unqualified,"unqualified -- title 'Student' not in tier1/tier2 title lists and company_size=17000 outside tier3 range [1, 200] (industry=Internet). [firmographics (llm, confidence=0.9): industry=Internet size=17000 -- Wayfair is a US-based e-commerce home goods retailer with publicly reported headcount ~17k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,wayfair.com,,rules,,unqualified,llm,llm,0.9,,False
jwilson@planetfitness.com,James,Wilson,Head of Shared Services,PF,Fitness,5000,general,head,US,NA,sdr.na@darwinbox.com,subscriber,NEW,,no_show,,2026-07-21T08:32:55,unqualified,"unqualified -- title 'Head of Shared Services' not in tier1/tier2 title lists and company_size=5000 outside tier3 range [1, 200] (industry=Fitness). [firmographics (llm, confidence=0.9): industry=Fitness size=5000 -- Planet Fitness is a US‑based fitness center chain with publicly disclosed corporate headcount around 5k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,planetfitness.com,,rules,,unqualified,llm,llm,0.9,,False
ahassan@maybank.com,Ahmad,Hassan,Head of Talent Acquisition,Maybank,BFSI,44000,general,head,MY,SEA,sdr.sea@darwinbox.com,lead,NEW,,no_show,,2026-08-02T10:33:18,tier2,"tier2 -- title 'Head of Talent Acquisition' in tier titles; company_size=44000 in [200, 1000000]; industry=BFSI in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate', 'Fitness']. [firmographics (llm, confidence=0.9): industry=BFSI size=44000 -- Maybank is a major Malaysian banking group with workforce of approximately 44k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,maybank.com,,rules,,tier2,llm,llm,0.9,,False
ahmad.hassan98@gmail.com,Ahmad,Hassan,HRIS Lead,Self-employed,Other,1,general,unknown,MY,SEA,sdr.sea@darwinbox.com,subscriber,NEW,,attended,29,2026-08-09T00:01:09,tier3,"tier3 -- catch-all title 'HRIS Lead'; company_size=1 in [1, 200]; industry=Other (wildcard). [firmographics (llm, confidence=0.9): industry=Other size=1 -- 'Self-employed' denotes an individual freelancer; not a company, so one‑person entity.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,,,rules,,tier3,rules,llm,0.9,,False
aisyah.abdullah@sea.com,Aisyah,Abdullah,VP Human Resources,Sea Limited Ltd,Conglomerate,55000,general,vp,SG,SEA,sdr.sea@darwinbox.com,lead,NEW,,no_show,,2026-08-01T22:33:36,tier1,"tier1 -- title 'VP Human Resources' in tier titles; company_size=55000 in [500, 1000000]; industry=Conglomerate in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate']. [firmographics (llm, confidence=0.9): industry=Conglomerate size=55000 -- Sea Limited is a Singapore‑based conglomerate with reported headcount exceeding 50k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,sea.com,,rules,,tier1,llm,llm,0.9,,False
mohammed.alsayed@majidalfuttaim.com,Mohammed,Al-Sayed,Head of People,Majid Al Futtaim,Conglomerate,40000,general,head,UAE,MENA,sdr.mena@darwinbox.com,lead,NEW,,no_show,,2026-08-04T04:00:18,tier1,"tier1 -- title 'Head of People' in tier titles; company_size=40000 in [500, 1000000]; industry=Conglomerate in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate']. [firmographics (llm, confidence=0.8): industry=Conglomerate size=40000 -- Majid Al Futtaim is a UAE-based conglomerate with retail, mall and leisure operations; workforce reported around 40k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,majidalfuttaim.com,,rules,,tier1,llm,llm,0.8,,False
maryam.alzaabi@almarai.com,Maryam,Al-Zaabi,Student,Almarai,Consumer Goods,38000,general,unknown,SA,MENA,sdr.mena@darwinbox.com,subscriber,NEW,,no_show,,2026-07-29T09:27:52,unqualified,"unqualified -- title 'Student' not in tier1/tier2 title lists and company_size=38000 outside tier3 range [1, 200] (industry=Consumer Goods). [firmographics (llm, confidence=0.95): industry=Consumer Goods size=38000 -- Almarai is a leading Saudi dairy and food company; employee count publicly reported ~38k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,almarai.com,,rules,,unqualified,llm,llm,0.95,,False
nisha@yahoo.com,Nisha,Mukherjee,HRIS Lead,Self-employed Ltd,Other,1,general,unknown,IN,INDIA,sdr.india@darwinbox.com,subscriber,NEW,,no_show,,2026-08-08T02:29:07,tier3,"tier3 -- catch-all title 'HRIS Lead'; company_size=1 in [1, 200]; industry=Other (wildcard). [firmographics (llm, confidence=0.9): industry=Other size=1 -- 'Self-employed Ltd' indicates a one-person entity, not a company.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,,,rules,,tier3,rules,llm,0.9,,False
sureshd@axisbank.com,Suresh,Desai,HRIS Manager,Axis Bank,BFSI,90000,general,manager,india,INDIA,sdr.india@darwinbox.com,lead,NEW,,no_show,,2026-08-10T08:36:44,tier1,"tier1 -- title 'HRIS Manager' in tier titles; company_size=90000 in [500, 1000000]; industry=BFSI in ['IT/ITES', 'BFSI', 'Manufacturing', 'Pharma', 'Retail', 'Consumer Goods', 'Hospitality', 'Healthcare', 'Telecom', 'Energy', 'Aviation', 'Conglomerate', 'Internet', 'Fintech', 'SaaS', 'Logistics', 'Real Estate']. [firmographics (llm, confidence=0.95): industry=BFSI size=90000 -- Axis Bank is a major Indian private-sector bank; employee count publicly disclosed ~90k.; icp_source=rules -- no usable tier returned by prompts/icp_scoring.md for this row; deterministic icp_tier() call stands]",1.0,create_new,False,axisbank.com,,rules,,tier1,llm,llm,0.95,,False
